timestamp,session_id,severity,risk_score,component,primary_cause,action_taken,status
2026-03-14 20:03:06,blk_7505495163819331501,CRITICAL,1.0000,packet_responder,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:03:08,blk_7604683085433170185,CRITICAL,1.0000,namenode_service,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:03:09,blk_8687300722271711987,CRITICAL,0.9999,namenode_service,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:03:10,blk_7819129300327159896,CRITICAL,1.0000,datanode_service,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:03:12,blk_5908206538552454113,CRITICAL,1.0000,datanode_service,Memory Pressure,Clear memory cache + terminate zombie processes,TRIGGERED
2026-03-14 20:03:12,blk_6996194389878584395,CRITICAL,1.0000,packet_responder,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:03:12,blk_3447884879668134874,CRITICAL,1.0000,datanode_service,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:03:13,blk_-6241220582305795548,CRITICAL,1.0000,datanode_service,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:03:13,blk_8729768707867317330,CRITICAL,0.9998,datanode_service,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:03:14,blk_8481640719132794798,CRITICAL,1.0000,packet_responder,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:03:14,blk_8822775702627284108,CRITICAL,0.9993,namenode_service,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:03:23,blk_8608974154783629388,CRITICAL,1.0000,packet_responder,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:03:26,blk_8582181734275842017,CRITICAL,0.9999,packet_responder,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:03:36,blk_8595953129858897576,CRITICAL,1.0000,packet_responder,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:03:42,blk_8955019103629391894,CRITICAL,1.0000,datanode_service,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:03:44,blk_8464056021668582878,CRITICAL,0.9930,namenode_service,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:03:44,blk_-496692173417080186,CRITICAL,1.0000,packet_responder,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:03:46,blk_9040791865370476433,CRITICAL,1.0000,datanode_service,Memory Pressure,Clear memory cache + terminate zombie processes,TRIGGERED
2026-03-14 20:04:04,blk_8583609883851289399,CRITICAL,1.0000,packet_responder,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:04:06,blk_9211607823870317301,CRITICAL,1.0000,datanode_service,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:04:06,blk_7775703395393605750,CRITICAL,1.0000,datanode_service,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:04:10,blk_8362325295506522506,CRITICAL,1.0000,packet_responder,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:04:12,blk_8330478536110405061,CRITICAL,1.0000,datanode_service,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:04:21,blk_3708679726899046099,CRITICAL,1.0000,datanode_service,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:04:27,blk_7489923904286676953,CRITICAL,1.0000,packet_responder,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:04:29,blk_8776541468782357879,CRITICAL,1.0000,packet_responder,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:04:33,blk_7936423389955810426,CRITICAL,0.9999,packet_responder,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:04:34,blk_2417363731073344373,CRITICAL,1.0000,packet_responder,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:04:36,blk_-511058354155453697,CRITICAL,1.0000,datanode_service,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:04:39,blk_8827951563980824329,CRITICAL,1.0000,packet_responder,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:04:42,blk_6249371971857255334,CRITICAL,1.0000,packet_responder,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:04:43,blk_-9203207203433266408,CRITICAL,1.0000,datanode_service,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:04:43,blk_-3842070622043972712,CRITICAL,1.0000,datanode_service,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
2026-03-14 20:04:46,blk_2654016902986803151,CRITICAL,1.0000,namenode_service,Resource Exhaustion,Restart overloaded service + reallocate CPU resources,TRIGGERED
