session_id,risk_score,risk_level,severity,component,primary_cause,all_causes,indicators,cause_count,cpu_avg,memory_avg,response_avg,latency_avg,disk_io_avg,error_count_avg,failed_events
blk_-8531310335568756456,0.8307,HIGH,CRITICAL,datanode_service,Resource Exhaustion,Resource Exhaustion | Memory Pressure | Service Degradation | Network Congestion | Disk Bottleneck | Software Fault | Repeated Failures,CPU=88.0% | Memory=79.5% | ResponseTime=1800ms | Latency=595ms | DiskIO=135.6MB/s | Errors=5.0 | FailedEvents=18,7,88.03093750000001,79.5396875,1799.508125,594.655625,135.6090625,4.96875,18
blk_5777459062943260062,0.8158,HIGH,CRITICAL,datanode_service,Resource Exhaustion,Resource Exhaustion | Memory Pressure | Service Degradation | Network Congestion | Disk Bottleneck | Software Fault,CPU=85.6% | Memory=82.9% | ResponseTime=1870ms | Latency=656ms | DiskIO=138.1MB/s | Errors=5.4,6,85.59380952380953,82.87,1870.3023809523809,655.5590476190476,138.0909523809524,5.380952380952381,3
blk_3858821904894294369,0.8043,HIGH,CRITICAL,datanode_service,Resource Exhaustion,Resource Exhaustion | Memory Pressure | Service Degradation | Network Congestion | Disk Bottleneck | Software Fault | Repeated Failures,CPU=89.3% | Memory=81.6% | ResponseTime=1841ms | Latency=607ms | DiskIO=137.4MB/s | Errors=4.4 | FailedEvents=15,7,89.26151515151516,81.61090909090909,1840.6339393939395,607.4954545454545,137.35151515151517,4.424242424242424,15
blk_2035360809852889117,0.8012,HIGH,CRITICAL,namenode_service,Resource Exhaustion,Resource Exhaustion | Memory Pressure | Service Degradation | Network Congestion | Disk Bottleneck | Software Fault | Repeated Failures,CPU=87.3% | Memory=84.0% | ResponseTime=1738ms | Latency=615ms | DiskIO=140.2MB/s | Errors=5.4 | FailedEvents=4,7,87.279,84.02250000000001,1738.2305,615.3399999999999,140.178,5.4,4
blk_7956543127401791181,0.7935,HIGH,CRITICAL,datanode_service,Resource Exhaustion,Resource Exhaustion | Memory Pressure | Service Degradation | Network Congestion | Disk Bottleneck | Software Fault | Repeated Failures,CPU=88.6% | Memory=82.3% | ResponseTime=1785ms | Latency=655ms | DiskIO=139.0MB/s | Errors=4.7 | FailedEvents=18,7,88.6415625,82.254375,1784.6565625,654.9459375,139.0215625,4.71875,18
blk_8867775509445445431,0.7909,HIGH,CRITICAL,packet_responder,Resource Exhaustion,Resource Exhaustion | Memory Pressure | Service Degradation | Network Congestion | Disk Bottleneck | Software Fault,CPU=87.5% | Memory=81.3% | ResponseTime=1920ms | Latency=710ms | DiskIO=137.2MB/s | Errors=5.0,6,87.48384615384614,81.32615384615384,1919.512307692308,709.6384615384615,137.1676923076923,5.0,3
blk_4241467193520768333,0.7906,HIGH,CRITICAL,datanode_service,Resource Exhaustion,Resource Exhaustion | Memory Pressure | Service Degradation | Network Congestion | Disk Bottleneck | Software Fault | Repeated Failures,CPU=85.3% | Memory=83.0% | ResponseTime=1893ms | Latency=635ms | DiskIO=139.7MB/s | Errors=4.7 | FailedEvents=15,7,85.34057142857144,82.962,1893.094285714286,634.8497142857143,139.66942857142857,4.742857142857143,15
blk_3947106522258141922,0.7885,HIGH,CRITICAL,datanode_service,Resource Exhaustion,Resource Exhaustion | Memory Pressure | Service Degradation | Network Congestion | Disk Bottleneck | Software Fault | Repeated Failures,CPU=88.8% | Memory=83.3% | ResponseTime=1740ms | Latency=712ms | DiskIO=134.4MB/s | Errors=5.2 | FailedEvents=18,7,88.7946875,83.298125,1739.7609375,711.8690625,134.3803125,5.21875,18
blk_766399086471411315,0.7728,HIGH,CRITICAL,packet_responder,Resource Exhaustion,Resource Exhaustion | Memory Pressure | Service Degradation | Network Congestion | Disk Bottleneck | Software Fault,CPU=87.6% | Memory=80.1% | ResponseTime=2125ms | Latency=607ms | DiskIO=131.0MB/s | Errors=5.3,6,87.60230769230769,80.06769230769231,2125.4776923076925,606.95,130.99923076923076,5.307692307692308,3
blk_-5424098422252438576,0.7714,HIGH,CRITICAL,datanode_service,Resource Exhaustion,Resource Exhaustion | Memory Pressure | Service Degradation | Network Congestion | Disk Bottleneck | Software Fault,CPU=88.2% | Memory=81.8% | ResponseTime=1928ms | Latency=623ms | DiskIO=142.9MB/s | Errors=5.3,6,88.20142857142858,81.79904761904761,1928.307619047619,622.64,142.91809523809525,5.333333333333333,3
